#SampleID	tube.number	empty.tube.weight..mg.	full.tube.weight..mg.	sample.weight..mg.	volume.of.water.for.homogenization..50.mg.in.125.uL.	volume.of.methnanol.for.homogenization..50.mg.in.125.uL..minus.10.uL.volume.removed.for.DNA..except.for.samples.below.60.ul.	final.volume_aq	volume.plated_aq	DCM.MeOH.volume..50.mg.in.250.uL.	volume.plated_org	mouse.number	study	sample.type	position	Organ_Position	Digitzed_Organ_Position	days.post.infection	condition	Organ_Posotion_condition_days	imaging.plate.position	collection.date	luminescence_counts	well_Pos
GIMap_P1_LI_Aq.Org_Mixed_F5.mzXML.Peak.area	245	1035	1145.1	110.1	275.25	265.25	540.5	110	550.5	100	m15	GI map rep 2	cecum	NA	cecum_NA	10	12	infected	cecum_NA_infected_12	D4	42851	184.9	P1_F5
GIMap_P1_SI_Aq.Org_Mixed_G2.mzXML.Peak.area	247	1050.6	1154.1	103.5	258.75	248.75	507.5	110	517.5	100	m15	GI map rep 2	small intestine	F	small intestine_F	9	12	infected	small intestine_F_infected_12	D6	42851	1601	P1_G2
GIMap_P1_SI_Aq.Org_Mixed_G3.mzXML.Peak.area	248	1048.1	1158	109.9	274.75	264.75	539.5	110	549.5	100	m15	GI map rep 2	small intestine	E	small intestine_E	8	12	infected	small intestine_E_infected_12	D7	42851	623.4	P1_G3
GIMap_P1_SI_Aq.Org_Mixed_G4.mzXML.Peak.area	249	1039.9	1286.7	246.8	617	607	1224	110	1234	100	m15	GI map rep 2	small intestine	D	small intestine_D	7	12	infected	small intestine_D_infected_12	D8	42851	482	P1_G4
GIMap_P1_SI_Aq.Org_Mixed_G5.mzXML.Peak.area	250	1033.5	1313.1	279.6	699	689	1388	110	1398	100	m15	GI map rep 2	small intestine	C	small intestine_C	6	12	infected	small intestine_C_infected_12	D9	42851	1204	P1_G5
GIMap_P1_SI_Aq.Org_Mixed_G6.mzXML.Peak.area	251	1039.1	1449.4	410.3	1025.75	1015.75	2041.5	110	1051.5	100	m15	GI map rep 2	small intestine	B/a	small intestine_B/a	5	12	infected	small intestine_B/a_infected_12	D10	42851	811.3	P1_G6
GIMap_P2_Aq.Org_Mixed_E2.mzXML.Peak.area	253	1049.8	1185.5	135.7	339.25	329.25	668.5	110	678.5	100	m15	GI map rep 2	stomach	C	stomach_C	4	12	infected	stomach_C_infected_12	D12	42851	145	P2_E2
GIMap_P2_Aq.Org_Mixed_E3.mzXML.Peak.area	254	1037.4	1111.4	74	185	175	360	110	370	100	m15	GI map rep 2	stomach	B	stomach_B	3	12	infected	stomach_B_infected_12	E1	42851	178.8	P2_E3
GIMap_P2_Aq.Org_Mixed_E4.mzXML.Peak.area	255	1047.7	1097	49.3	123.25	113.25	236.5	110	246.5	100	m15	GI map rep 2	stomach	A	stomach_A	2	12	infected	stomach_A_infected_12	E2	42851	360.3	P2_E4
P1_Aq.Org_Mixed_B1.mzXML.Peak.area	256	1040.5	1060.1	19.6	49	49	98	55	98	50	m15	GI map rep 2	oesophagus	NA	oesophagus_NA	1	12	infected	oesophagus_NA_infected_12	E3	42851	147.9	P1_B1
GIMap_P1_LI_Aq.Org_Mixed_F7.mzXML.Peak.area	259	1032.9	1114.6	81.7	204.25	194.25	398.5	110	408.5	100	m16	GI map rep 2	large intestine	C	large intestine_C	13	12	uninfected	large intestine_C_uninfected_12	E5	42851	22.36	P1_F7
GIMap_P1_LI_Aq.Org_Mixed_F8.mzXML.Peak.area	260	1036.3	1165.7	129.4	323.5	313.5	637	110	647	100	m16	GI map rep 2	large intestine	B	large intestine_B	12	12	uninfected	large intestine_B_uninfected_12	E6	42851	48.34	P1_F8
GIMap_P1_LI_Aq.Org_Mixed_F9.mzXML.Peak.area	261	1033.3	1096	62.7	156.75	146.75	303.5	110	313.5	100	m16	GI map rep 2	large intestine	A	large intestine_A	11	12	uninfected	large intestine_A_uninfected_12	E7	42851	54.03	P1_F9
GIMap_P1_LI_Aq.Org_Mixed_F10.mzXML.Peak.area	262	1034.2	1153.2	119	297.5	287.5	585	110	595	100	m16	GI map rep 2	cecum	NA	cecum_NA	10	12	uninfected	cecum_NA_uninfected_12	E8	42851	41.91	P1_F10
GIMap_P1_SI_Aq.Org_Mixed_G8.mzXML.Peak.area	264	1028.9	1136.1	107.2	268	258	526	110	536	100	m16	GI map rep 2	small intestine	F	small intestine_F	9	12	uninfected	small intestine_F_uninfected_12	E10	42851	18.35	P1_G8
GIMap_P1_SI_Aq.Org_Mixed_G9.mzXML.Peak.area	265	1033.9	1144.5	110.6	276.5	266.5	543	110	553	100	m16	GI map rep 2	small intestine	E	small intestine_E	8	12	uninfected	small intestine_E_uninfected_12	E11	42851	20.1	P1_G9
GIMap_P1_SI_Aq.Org_Mixed_G10.mzXML.Peak.area	266	1037.3	1264.1	226.8	567	557	1124	110	1134	100	m16	GI map rep 2	small intestine	D	small intestine_D	7	12	uninfected	small intestine_D_uninfected_12	E12	42851	10.04	P1_G10
GIMap_P1_SI_Aq.Org_Mixed_G11.mzXML.Peak.area	267	1034.9	1369.2	334.3	835.75	825.75	1661.5	110	671.5	100	m16	GI map rep 2	small intestine	C	small intestine_C	6	12	uninfected	small intestine_C_uninfected_12	F1	42851	11.74	P1_G11
GIMap_P1_SI_Aq.Org_Mixed_G12.mzXML.Peak.area	268	1037.5	1428.1	390.6	976.5	966.5	1943	110	953	100	m16	GI map rep 2	small intestine	B/a	small intestine_B/a	5	12	uninfected	small intestine_B/a_uninfected_12	F2	42851	70.75	P1_G12
GIMap_P2_Aq.Org_Mixed_E6.mzXML.Peak.area	270	1050.7	1240.7	190	475	465	940	110	950	100	m16	GI map rep 2	stomach	C	stomach_C	4	12	uninfected	stomach_C_uninfected_12	F4	42851	36.37	P2_E6
GIMap_P2_Aq.Org_Mixed_E7.mzXML.Peak.area	271	1033.3	1089.7	56.4	141	131	272	110	282	100	m16	GI map rep 2	stomach	B	stomach_B	3	12	uninfected	stomach_B_uninfected_12	F5	42851	43.92	P2_E7
GIMap_P2_Aq.Org_Mixed_E8.mzXML.Peak.area	272	1041.4	1080.2	38.8	97	87	184	110	194	100	m16	GI map rep 2	stomach	A	stomach_A	2	12	uninfected	stomach_A_uninfected_12	F6	42851	21.46	P2_E8
P1_Aq.Org_Mixed_B2.mzXML.Peak.area	273	1033.5	1052.6	19.1	47.75	47.75	95.5	55	95.5	50	m16	GI map rep 2	oesophagus	NA	oesophagus_NA	1	12	uninfected	oesophagus_NA_uninfected_12	F7	42851	4.989	P1_B2
GIMap_P1_LI_Aq.Org_Mixed_F12.mzXML.Peak.area	276	1033.8	1097.5	63.7	159.25	149.25	308.5	110	318.5	100	m17	GI map rep 2	large intestine	C	large intestine_C	13	12	infected	large intestine_C_infected_12	F10	42851	1380	P1_F12
GIMap_P1_LI_Aq.Org_Mixed_G2.mzXML.Peak.area	278	1035.1	1098.8	63.7	159.25	149.25	308.5	110	318.5	100	m17	GI map rep 2	large intestine	A	large intestine_A	11	12	infected	large intestine_A_infected_12	F12	42851	336	P1_G2
GIMap_P1_LI_Aq.Org_Mixed_G3.mzXML.Peak.area	279	1036.9	1160.7	123.8	309.5	299.5	609	110	619	100	m17	GI map rep 2	cecum	NA	cecum_NA	10	12	infected	cecum_NA_infected_12	G1	42851	65.43	P1_G3
GIMap_P1_SI_Aq.Org_Mixed_H2.mzXML.Peak.area	281	1037	1097	60	150	140	290	110	300	100	m17	GI map rep 2	small intestine	F	small intestine_F	9	12	infected	small intestine_F_infected_12	G3	42851	416.1	P1_H2
GIMap_P1_SI_Aq.Org_Mixed_H3.mzXML.Peak.area	282	1043.8	1137.4	93.6	234	224	458	110	468	100	m17	GI map rep 2	small intestine	E	small intestine_E	8	12	infected	small intestine_E_infected_12	G4	42851	823.3	P1_H3
GIMap_P1_SI_Aq.Org_Mixed_H4.mzXML.Peak.area	283	1038.2	1272.1	233.9	584.75	574.75	1159.5	110	1169.5	100	m17	GI map rep 2	small intestine	D	small intestine_D	7	12	infected	small intestine_D_infected_12	G5	42851	496.3	P1_H4
GIMap_P1_SI_Aq.Org_Mixed_H5.mzXML.Peak.area	284	1033.4	1335.7	302.3	755.75	745.75	1501.5	110	511.5	100	m17	GI map rep 2	small intestine	C	small intestine_C	6	12	infected	small intestine_C_infected_12	G6	42851	168.2	P1_H5
GIMap_P1_SI_Aq.Org_Mixed_H6.mzXML.Peak.area	285	1035	1376.4	341.4	853.5	843.5	1697	110	707	100	m17	GI map rep 2	small intestine	B/a	small intestine_B/a	5	12	infected	small intestine_B/a_infected_12	G7	42851	2406	P1_H6
GIMap_P2_Aq.Org_Mixed_E10.mzXML.Peak.area	287	1036.5	1193.2	156.7	391.75	381.75	773.5	110	783.5	100	m17	GI map rep 2	stomach	C	stomach_C	4	12	infected	stomach_C_infected_12	G9	42851	274.8	P2_E10
GIMap_P2_Aq.Org_Mixed_E11.mzXML.Peak.area	288	996.4	1071.2	74.8	187	177	364	110	374	100	m17	GI map rep 2	stomach	B	stomach_B	3	12	infected	stomach_B_infected_12	G10	42851	296.6	P2_E11
GIMap_P2_Aq.Org_Mixed_E12.mzXML.Peak.area	289	1033.4	1073.9	40.5	101.25	91.25	192.5	110	202.5	100	m17	GI map rep 2	stomach	A	stomach_A	2	12	infected	stomach_A_infected_12	G11	42851	221.8	P2_E12
P1_Aq.Org_Mixed_B3.mzXML.Peak.area	290	1040.4	1058.3	17.9	44.75	44.75	89.5	55	89.5	50	m17	GI map rep 2	oesophagus	NA	oesophagus_NA	1	12	infected	oesophagus_NA_infected_12	G12	42851	228.4	P1_B3
GIMap_P1_LI_Aq.Org_Mixed_G5.mzXML.Peak.area	293	1041.4	1127.8	86.4	216	206	422	110	432	100	m18	GI map rep 2	large intestine	C	large intestine_C	13	12	uninfected	large intestine_C_uninfected_12	A3	42851	37.08	P1_G5
GIMap_P1_LI_Aq.Org_Mixed_G6.mzXML.Peak.area	294	1033.2	1119.5	86.3	215.75	205.75	421.5	110	431.5	100	m18	GI map rep 2	large intestine	B	large intestine_B	12	12	uninfected	large intestine_B_uninfected_12	A4	42851	17.56	P1_G6
GIMap_P1_LI_Aq.Org_Mixed_G7.mzXML.Peak.area	295	1050.5	1123.4	72.9	182.25	172.25	354.5	110	364.5	100	m18	GI map rep 2	large intestine	A	large intestine_A	11	12	uninfected	large intestine_A_uninfected_12	A5	42851	38.27	P1_G7
GIMap_P1_LI_Aq.Org_Mixed_G8.mzXML.Peak.area	296	1050.5	1196.5	146	365	355	720	110	730	100	m18	GI map rep 2	cecum	NA	cecum_NA	10	12	uninfected	cecum_NA_uninfected_12	A6	42851	11.14	P1_G8
GIMap_P1_SI_Aq.Org_Mixed_H8.mzXML.Peak.area	298	1034.4	1116.7	82.3	205.75	195.75	401.5	110	411.5	100	m18	GI map rep 2	small intestine	F	small intestine_F	9	12	uninfected	small intestine_F_uninfected_12	A8	42851	16.95	P1_H8
GIMap_P1_SI_Aq.Org_Mixed_H9.mzXML.Peak.area	299	1035.1	1149.6	114.5	286.25	276.25	562.5	110	572.5	100	m18	GI map rep 2	small intestine	E	small intestine_E	8	12	uninfected	small intestine_E_uninfected_12	A9	42851	-3.649	P1_H9
GIMap_P1_SI_Aq.Org_Mixed_H10.mzXML.Peak.area	300	1033.5	1245	211.5	528.75	518.75	1047.5	110	1057.5	100	m18	GI map rep 2	small intestine	D	small intestine_D	7	12	uninfected	small intestine_D_uninfected_12	A10	42851	65.08	P1_H10
GIMap_P1_SI_Aq.Org_Mixed_H11.mzXML.Peak.area	301	1038	1332.4	294.4	736	726	1462	110	1472	100	m18	GI map rep 2	small intestine	C	small intestine_C	6	12	uninfected	small intestine_C_uninfected_12	A11	42851	15.99	P1_H11
GIMap_P1_SI_Aq.Org_Mixed_H12.mzXML.Peak.area	302	1047.6	1511.6	464	1160	1150	2310	110	1320	100	m18	GI map rep 2	small intestine	B/a	small intestine_B/a	5	12	uninfected	small intestine_B/a_uninfected_12	A12	42851	46.2	P1_H12
GIMap_P2_Aq.Org_Mixed_F2.mzXML.Peak.area	304	1047.8	1208.4	160.6	401.5	391.5	793	110	803	100	m18	GI map rep 2	stomach	C	stomach_C	4	12	uninfected	stomach_C_uninfected_12	B2	42851	51.93	P2_F2
GIMap_P2_Aq.Org_Mixed_F3.mzXML.Peak.area	305	1039.5	1195	155.5	388.75	378.75	767.5	110	777.5	100	m18	GI map rep 2	stomach	B	stomach_B	3	12	uninfected	stomach_B_uninfected_12	B3	42851	71.7	P2_F3
GIMap_P2_Aq.Org_Mixed_F4.mzXML.Peak.area	306	1028.2	1054.2	26	65	55	120	110	130	100	m18	GI map rep 2	stomach	A	stomach_A	2	12	uninfected	stomach_A_uninfected_12	B4	42851	64.07	P2_F4
P1_Aq.Org_Mixed_B4.mzXML.Peak.area	307	1035.8	1066.7	30.9	77.25	77.25	154.5	110	154.5	100	m18	GI map rep 2	oesophagus	NA	oesophagus_NA	1	12	uninfected	oesophagus_NA_uninfected_12	B5	42851	49.2	P1_B4
GIMap_P1_LI_Aq.Org_Mixed_G10.mzXML.Peak.area	310	1040.5	1107	66.5	166.25	156.25	322.5	110	332.5	100	m19	GI map rep 2	large intestine	C	large intestine_C	13	12	infected	large intestine_C_infected_12	B8	42851	3442	P1_G10
GIMap_P1_LI_Aq.Org_Mixed_G11.mzXML.Peak.area	311	1027.7	1099.8	72.1	180.25	170.25	350.5	110	360.5	100	m19	GI map rep 2	large intestine	B	large intestine_B	12	12	infected	large intestine_B_infected_12	B9	42851	2220	P1_G11
GIMap_P1_LI_Aq.Org_Mixed_G12.mzXML.Peak.area	312	1040.9	1112.4	71.5	178.75	168.75	347.5	110	357.5	100	m19	GI map rep 2	large intestine	A	large intestine_A	11	12	infected	large intestine_A_infected_12	B10	42851	3603	P1_G12
GIMap_P2_SI_Aq.Org_Mixed_A2.mzXML.Peak.area	315	1050.9	1101.2	50.3	125.75	115.75	241.5	110	251.5	100	m19	GI map rep 2	small intestine	F	small intestine_F	9	12	infected	small intestine_F_infected_12	C1	42851	8840	P2_A2
GIMap_P2_SI_Aq.Org_Mixed_A3.mzXML.Peak.area	316	1038.6	1132.2	93.6	234	224	458	110	468	100	m19	GI map rep 2	small intestine	E	small intestine_E	8	12	infected	small intestine_E_infected_12	C2	42851	4605	P2_A3
GIMap_P2_SI_Aq.Org_Mixed_A4.mzXML.Peak.area	317	1041.9	1271.9	230	575	565	1140	110	1150	100	m19	GI map rep 2	small intestine	D	small intestine_D	7	12	infected	small intestine_D_infected_12	C3	42851	1952	P2_A4
GIMap_P2_SI_Aq.Org_Mixed_A5.mzXML.Peak.area	318	1038.1	1334.1	296	740	730	1470	110	1480	100	m19	GI map rep 2	small intestine	C	small intestine_C	6	12	infected	small intestine_C_infected_12	C4	42851	3480	P2_A5
GIMap_P2_SI_Aq.Org_Mixed_A6.mzXML.Peak.area	319	1050.7	1332.6	281.9	704.75	694.75	1399.5	110	1409.5	100	m19	GI map rep 2	small intestine	B/a	small intestine_B/a	5	12	infected	small intestine_B/a_infected_12	C5	42851	2614	P2_A6
GIMap_P2_Aq.Org_Mixed_F6.mzXML.Peak.area	321	1036.7	1231.4	194.7	486.75	476.75	963.5	110	973.5	100	m19	GI map rep 2	stomach	C	stomach_C	4	12	infected	stomach_C_infected_12	C7	42851	4900	P2_F6
GIMap_P2_Aq.Org_Mixed_F7.mzXML.Peak.area	322	1051.3	1114.1	62.8	157	147	304	110	314	100	m19	GI map rep 2	stomach	B	stomach_B	3	12	infected	stomach_B_infected_12	C8	42851	467.1	P2_F7
GIMap_P2_Aq.Org_Mixed_F8.mzXML.Peak.area	323	1042	1082.7	40.7	101.75	91.75	193.5	110	203.5	100	m19	GI map rep 2	stomach	A	stomach_A	2	12	infected	stomach_A_infected_12	C9	42851	468	P2_F8
P1_Aq.Org_Mixed_B5.mzXML.Peak.area	324	1040.2	1071.2	31	77.5	77.5	155	110	155	100	m19	GI map rep 2	oesophagus	NA	oesophagus_NA	1	12	infected	oesophagus_NA_infected_12	C10	42851	1451	P1_B5
GIMap_P1_LI_Aq.Org_Mixed_H4.mzXML.Peak.area	328	1044.4	1115.4	71	177.5	167.5	345	110	355	100	m20	GI map rep 2	large intestine	B	large intestine_B	12	12	uninfected	large intestine_B_uninfected_12	D2	42851	30.63	P1_H4
GIMap_P1_LI_Aq.Org_Mixed_H5.mzXML.Peak.area	329	1038.5	1125.8	87.3	218.25	208.25	426.5	110	436.5	100	m20	GI map rep 2	large intestine	A	large intestine_A	11	12	uninfected	large intestine_A_uninfected_12	D3	42851	51.99	P1_H5
GIMap_P1_LI_Aq.Org_Mixed_H6.mzXML.Peak.area	330	1037.8	1175.4	137.6	344	334	678	110	688	100	m20	GI map rep 2	cecum	NA	cecum_NA	10	12	uninfected	cecum_NA_uninfected_12	D4	42851	26.84	P1_H6
GIMap_P2_SI_Aq.Org_Mixed_A8.mzXML.Peak.area	332	1035.1	1102.6	67.5	168.75	158.75	327.5	110	337.5	100	m20	GI map rep 2	small intestine	F	small intestine_F	9	12	uninfected	small intestine_F_uninfected_12	D6	42851	53.69	P2_A8
GIMap_P2_SI_Aq.Org_Mixed_A9.mzXML.Peak.area	333	1041.5	1160.8	119.3	298.25	288.25	586.5	110	596.5	100	m20	GI map rep 2	small intestine	E	small intestine_E	8	12	uninfected	small intestine_E_uninfected_12	D7	42851	60.33	P2_A9
GIMap_P2_SI_Aq.Org_Mixed_A10.mzXML.Peak.area	334	1038	1232.5	194.5	486.25	476.25	962.5	110	972.5	100	m20	GI map rep 2	small intestine	D	small intestine_D	7	12	uninfected	small intestine_D_uninfected_12	D8	42851	61.82	P2_A10
GIMap_P2_SI_Aq.Org_Mixed_A11.mzXML.Peak.area	335	1051.2	1300.7	249.5	623.75	613.75	1237.5	110	1247.5	100	m20	GI map rep 2	small intestine	C	small intestine_C	6	12	uninfected	small intestine_C_uninfected_12	D9	42851	65.32	P2_A11
GIMap_P2_SI_Aq.Org_Mixed_A12.mzXML.Peak.area	336	1039.8	1441.3	401.5	1003.75	993.75	1997.5	110	1007.5	100	m20	GI map rep 2	small intestine	B/a	small intestine_B/a	5	12	uninfected	small intestine_B/a_uninfected_12	D10	42851	29.39	P2_A12
GIMap_P2_Aq.Org_Mixed_F10.mzXML.Peak.area	338	1033.4	1219.4	186	465	455	920	110	930	100	m20	GI map rep 2	stomach	C	stomach_C	4	12	uninfected	stomach_C_uninfected_12	D12	42851	39.57	P2_F10
GIMap_P2_Aq.Org_Mixed_F11.mzXML.Peak.area	339	1033.6	1097.4	63.8	159.5	149.5	309	110	319	100	m20	GI map rep 2	stomach	B	stomach_B	3	12	uninfected	stomach_B_uninfected_12	E1	42851	56.5	P2_F11
GIMap_P2_Aq.Org_Mixed_F12.mzXML.Peak.area	340	1047.5	1096.3	48.8	122	112	234	110	244	100	m20	GI map rep 2	stomach	A	stomach_A	2	12	uninfected	stomach_A_uninfected_12	E2	42851	13.63	P2_F12
P1_Aq.Org_Mixed_B6.mzXML.Peak.area	341	1033.5	1051.5	18	45	45	90	55	90	50	m20	GI map rep 2	oesophagus	NA	oesophagus_NA	1	12	uninfected	oesophagus_NA_uninfected_12	E3	42851	61.37	P1_B6
GIMap_P1_LI_Aq.Org_Mixed_H8.mzXML.Peak.area	344	1037	1104.3	67.3	168.25	158.25	326.5	110	336.5	100	m21	GI map rep 2	large intestine	C	large intestine_C	13	12	infected	large intestine_C_infected_12	E6	42851	3310	P1_H8
GIMap_P1_LI_Aq.Org_Mixed_H9.mzXML.Peak.area	345	1035.7	1119.8	84.1	210.25	200.25	410.5	110	420.5	100	m21	GI map rep 2	large intestine	B	large intestine_B	12	12	infected	large intestine_B_infected_12	E7	42851	1648	P1_H9
GIMap_P1_LI_Aq.Org_Mixed_H10.mzXML.Peak.area	346	1039.9	1112.4	72.5	181.25	171.25	352.5	110	362.5	100	m21	GI map rep 2	large intestine	A	large intestine_A	11	12	infected	large intestine_A_infected_12	E8	42851	703.2	P1_H10
GIMap_P1_LI_Aq.Org_Mixed_H11.mzXML.Peak.area	347	1034.6	1132.8	98.2	245.5	235.5	481	110	491	100	m21	GI map rep 2	cecum	NA	cecum_NA	10	12	infected	cecum_NA_infected_12	E9	42851	322.4	P1_H11
GIMap_P2_SI_Aq.Org_Mixed_B2.mzXML.Peak.area	349	1041.9	1103	61.1	152.75	142.75	295.5	110	305.5	100	m21	GI map rep 2	small intestine	F	small intestine_F	9	12	infected	small intestine_F_infected_12	E11	42851	3467	P2_B2
GIMap_P2_SI_Aq.Org_Mixed_B3.mzXML.Peak.area	350	1038.2	1135.1	96.9	242.25	232.25	474.5	110	484.5	100	m21	GI map rep 2	small intestine	E	small intestine_E	8	12	infected	small intestine_E_infected_12	E12	42851	14240	P2_B3
GIMap_P2_SI_Aq.Org_Mixed_B4.mzXML.Peak.area	351	1040.1	1265.5	225.4	563.5	553.5	1117	110	1127	100	m21	GI map rep 2	small intestine	D	small intestine_D	7	12	infected	small intestine_D_infected_12	F1	42851	393.1	P2_B4
GIMap_P2_SI_Aq.Org_Mixed_B5.mzXML.Peak.area	352	1040.3	1356.2	315.9	789.75	779.75	1569.5	110	1579.5	100	m21	GI map rep 2	small intestine	C	small intestine_C	6	12	infected	small intestine_C_infected_12	F2	42851	1958	P2_B5
GIMap_P2_SI_Aq.Org_Mixed_B6.mzXML.Peak.area	353	1047.6	1330.4	282.8	707	697	1404	110	1414	100	m21	GI map rep 2	small intestine	B/a	small intestine_B/a	5	12	infected	small intestine_B/a_infected_12	F3	42851	2721	P2_B6
GIMap_P2_Aq.Org_Mixed_G2.mzXML.Peak.area	355	1041.7	1147.3	105.6	264	254	518	110	528	100	m21	GI map rep 2	stomach	C	stomach_C	4	12	infected	stomach_C_infected_12	F5	42851	1771	P2_G2
GIMap_P2_Aq.Org_Mixed_G3.mzXML.Peak.area	356	1042.1	1120.4	78.3	195.75	185.75	381.5	110	391.5	100	m21	GI map rep 2	stomach	B	stomach_B	3	12	infected	stomach_B_infected_12	F6	42851	851.4	P2_G3
GIMap_P2_Aq.Org_Mixed_G4.mzXML.Peak.area	357	1033.3	1071.2	37.9	94.75	84.75	179.5	110	189.5	100	m21	GI map rep 2	stomach	A	stomach_A	2	12	infected	stomach_A_infected_12	F7	42851	1774	P2_G4
P1_Aq.Org_Mixed_B7.mzXML.Peak.area	358	1034	1066.6	32.6	81.5	81.5	163	110	163	100	m21	GI map rep 2	oesophagus	NA	oesophagus_NA	1	12	infected	oesophagus_NA_infected_12	F8	42851	751.1	P1_B7
GIMap_P2_LI_Aq.Org_Mixed_A1.mzXML.Peak.area	361	1039.9	1093.1	53.2	133	123	256	110	266	100	m22	GI map rep 2	large intestine	C	large intestine_C	13	12	uninfected	large intestine_C_uninfected_12	F11	42851	-6.472	P2_A1
GIMap_P2_LI_Aq.Org_Mixed_A2.mzXML.Peak.area	362	1041.9	1132.9	91	227.5	217.5	445	110	455	100	m22	GI map rep 2	large intestine	B	large intestine_B	12	12	uninfected	large intestine_B_uninfected_12	F12	42851	21.5	P2_A2
GIMap_P2_LI_Aq.Org_Mixed_A3.mzXML.Peak.area	363	1033.3	1139.5	106.2	265.5	255.5	521	110	531	100	m22	GI map rep 2	large intestine	A	large intestine_A	11	12	uninfected	large intestine_A_uninfected_12	G1	42851	61.95	P2_A3
GIMap_P2_LI_Aq.Org_Mixed_A4.mzXML.Peak.area	364	1033.5	1133.2	99.7	249.25	239.25	488.5	110	498.5	100	m22	GI map rep 2	cecum	NA	cecum_NA	10	12	uninfected	cecum_NA_uninfected_12	G2	42851	55.37	P2_A4
GIMap_P2_SI_Aq.Org_Mixed_B8.mzXML.Peak.area	366	1033.5	1101.7	68.2	170.5	160.5	331	110	341	100	m22	GI map rep 2	small intestine	F	small intestine_F	9	12	uninfected	small intestine_F_uninfected_12	G4	42851	64.57	P2_B8
GIMap_P2_SI_Aq.Org_Mixed_B9.mzXML.Peak.area	367	1037.9	1169.5	131.6	329	319	648	110	658	100	m22	GI map rep 2	small intestine	E	small intestine_E	8	12	uninfected	small intestine_E_uninfected_12	G5	42851	33.49	P2_B9
GIMap_P2_SI_Aq.Org_Mixed_B10.mzXML.Peak.area	368	1044.2	1270.8	226.6	566.5	556.5	1123	110	1133	100	m22	GI map rep 2	small intestine	D	small intestine_D	7	12	uninfected	small intestine_D_uninfected_12	G6	42851	50.68	P2_B10
GIMap_P2_SI_Aq.Org_Mixed_B11.mzXML.Peak.area	369	1044.3	1354.8	310.5	776.25	766.25	1542.5	110	1552.5	100	m22	GI map rep 2	small intestine	C	small intestine_C	6	12	uninfected	small intestine_C_uninfected_12	G7	42851	45.22	P2_B11
GIMap_P2_SI_Aq.Org_Mixed_B12.mzXML.Peak.area	370	1035.2	1376.8	341.6	854	844	1698	110	1708	100	m22	GI map rep 2	small intestine	B/a	small intestine_B/a	5	12	uninfected	small intestine_B/a_uninfected_12	G8	42851	54.46	P2_B12
GIMap_P2_Aq.Org_Mixed_G6.mzXML.Peak.area	372	1040.6	1195.1	154.5	386.25	376.25	762.5	110	772.5	100	m22	GI map rep 2	stomach	C	stomach_C	4	12	uninfected	stomach_C_uninfected_12	G10	42851	46.18	P2_G6
GIMap_P2_Aq.Org_Mixed_G7.mzXML.Peak.area	373	1035.4	1106.3	70.9	177.25	167.25	344.5	110	354.5	100	m22	GI map rep 2	stomach	B	stomach_B	3	12	uninfected	stomach_B_uninfected_12	G11	42851	38.06	P2_G7
GIMap_P2_Aq.Org_Mixed_G8.mzXML.Peak.area	374	1047.5	1095.7	48.2	120.5	110.5	231	110	241	100	m22	GI map rep 2	stomach	A	stomach_A	2	12	uninfected	stomach_A_uninfected_12	G12	42851	44.93	P2_G8
P1_Aq.Org_Mixed_B8.mzXML.Peak.area	375	1047.8	1079.4	31.6	79	79	158	110	158	100	m22	GI map rep 2	oesophagus	NA	oesophagus_NA	1	12	uninfected	oesophagus_NA_uninfected_12	H1	42851	20.79	P1_B8
GIMap_P2_LI_Aq.Org_Mixed_A6.mzXML.Peak.area	378	1040.6	1123.9	83.3	208.25	198.25	406.5	110	416.5	100	m23	GI map rep 1	large intestine	C	large intestine_C	13	89	uninfected	large intestine_C_uninfected_89	A3	42920	21.13	P2_A6
GIMap_P2_LI_Aq.Org_Mixed_A7.mzXML.Peak.area	379	1047.7	1124.9	77.2	193	183	376	110	386	100	m23	GI map rep 1	large intestine	B	large intestine_B	12	89	uninfected	large intestine_B_uninfected_89	A4	42920	3.122	P2_A7
GIMap_P1_LI_Aq.Org_Mixed_A2.mzXML.Peak.area	38	1004.9	1064.3	59.4	148.5	138.5	287	110	297	100	m3	GI map rep 1	large intestine	C	large intestine_C	13	12	uninfected	large intestine_C_uninfected_12	D3	42844	31.28	P1_A2
GIMap_P2_LI_Aq.Org_Mixed_A8.mzXML.Peak.area	380	1037.4	1117	79.6	199	189	388	110	398	100	m23	GI map rep 1	large intestine	A	large intestine_A	11	89	uninfected	large intestine_A_uninfected_89	A5	42920	-25.82	P2_A8
GIMap_P2_LI_Aq.Org_Mixed_A9.mzXML.Peak.area	381	1033.6	1183.7	150.1	375.25	365.25	740.5	110	750.5	100	m23	GI map rep 1	cecum	NA	cecum_NA	10	89	uninfected	cecum_NA_uninfected_89	A6	42920	4.023	P2_A9
GIMap_P2_SI_Aq.Org_Mixed_C2.mzXML.Peak.area	383	1050.8	1131	80.2	200.5	190.5	391	110	401	100	m23	GI map rep 1	small intestine	F	small intestine_F	9	89	uninfected	small intestine_F_uninfected_89	A8	42920	17.2	P2_C2
GIMap_P2_SI_Aq.Org_Mixed_C3.mzXML.Peak.area	384	1035.7	1153.9	118.2	295.5	285.5	581	110	591	100	m23	GI map rep 1	small intestine	E	small intestine_E	8	89	uninfected	small intestine_E_uninfected_89	A9	42920	-4.51	P2_C3
